Текст,Рейтинг,Дата,Заголовок,Тип
"Вероятно, если бы Макконахи снаркоманился, фильму дали бы ещё один Оскар. Но даже он не спас бы Интерстеллар от провала, а Нолана - от очередной потери лица.Вообще эта картина - отличное объяснение, почему свободу творчества надо бы иногда ограничивать. Потому как трёхминутный месседж преподносится, муссируется и разжёвывается три часа, за которые можно пару раз вздремнуть, не упустив нити происходящего на экране. Нолан пытается сделать всё слишком сложно: возвести семейное недопонимание в ранг вселенской (буквально) проблемы и превратить физическую концепцию, которая уже давно адаптирована даже для детишек, в божественное откровение, и ни секундой меньше.В этом фильме спят все - Макконахи просыпает моменты, когда можно разрядить обстановку, поэтому по шуткам в фильме главный футуристический автомат-трансформер а-ля стиральная машинка, Хэтэуэй просыпает возможность выдать вменяемую игру, Циммер засыпает прямо на органе, генерируя аккорды, способные свести с ума мало-мальски музыкально подкованного зрителя.Заявленная Одиссея проваливается с треском, главным образом из-за того, что в каждых кустах по роялю, и в помощь героям приходит всё, от ЦРУ и вселенной до ловкого жонглирования Ноланом физическими и околофизическими правдами и неправдами. Попытки создания интриги на пустом месте и изящного её решения с помощью рояля хороши, но в фильмах про летучую мышь смотрятся куда как уместнее.Визуальный ряд прекрасен, но Нолан перебрал с плагиатом у Тарковского, Кубрика и Малика, так что после двухминутного статичного кадра этой самой космической красоты интерес к ней значительно поубавляется.Заявленная высколобость всего происходящего сильно подрывается несуразицей, которую говорят герои, антифизическими фокусами из разряда Звёздного Пути и полным отсутствием объяснения, зачем показывать зрителю так много оффтопного космоса, если речь идёт о средней руки конфликте папы и дочки.Но самое печальное - штампованность. Робинзон Дэймон, спасение мира гражданином США, счастливое воссоединение (две штуки), муки раскаяние, сексапильная учёная, совершающая общемировой прорыв, плюшевый и дружелюбный космос, рафинированные астронавты и ни единого намёка на новый операторский или режиссёрский ход.",0,04 декабря 2015 | 03:22,Шизики футят,Отрицательный
"Посмотрел через силу в два приема - фильм крайне затянутый. Что собственно выдающегося показал нам фильм? Тут люби наперебой рассказывают о 'мастерстве актеров' и 'суперпупер спецэффектах', выдавая какие то умозрительные заключения за истину. Да, Макконахи весьма интересный актер, есть у него неплохие роли, но здесь он плосок как доска и не выдает ничего кроме нытья по тому что не отказался в свое время лететь в космосА моя любимая Хатауэй? Где надрыв, где чувства? Где настоящая Любовь о которой она так робко выдала хлопая ресницами? Всего этого Нолан не показал, вместо этого герои как мантру повторяют одни и те же фразы 'сингулярность, горизонт событий'. Даже не хочу упоминать ляпы с физикой всего полета -. пролет через черную дыру посмотрите - Эйнштейн вертится в гробу.А главное какой посыл картины? С любимыми не расставайтесь? Очень странной показалась обида дочери на отца за то что он улетел на годы. Спасение мира? Невнятно показана 'колонизация' явно непригодной планеты. А доктор Манн? Чем объясняется его поступок? Да он должен был на руках носить Купера и Амелию. Словом больше вопросов чем ответов. Похоже что Нолан наступил на те же грабли что и в 'Начале' напустив такой же туман из физических терминов и невразумительного сюжетаВ общем очень и очень плохо и затянуто.1 из 10",0,01 декабря 2015 | 22:30,Псевдодрама,Отрицательный
"Ажиотаж вокруг данной картины возник ещё в тот период, когда права на её режиссуру имел Стивен Спилберг, и поскольку у этого знаменитого человека уже был за плечами солидный опыт в работе с жанром фантастики, вдохновлённый зритель с нетерпением ожидал премьеры. После того, как место режиссёра в конечном итоге получил Кристофер Нолан, всеобщий интерес стал приобретать характер массовой истерии чему весьма поспособствовал коммерческий успех его предыдущих лент в совокупности с положительной оценкой оных как со стороны виднейших кинокритиков, так и рядовых зрителей. Удивительно, что никого особо не смутило отсутствие опыта британского режиссёра в работе с данным жанром, а скорее наоборот побудило ещё больший интерес.В итоге получилось крайне посредственное, оставляющее стойкое чувство неприязни произведение. Фатальным недостатком «Межзвёздного» стала его колоссальная претенциозность – в центре этого огромного вороха якобы сложной терминологии и обилия технической информации кроется на редкость вторичная мелодрама.Впрочем, даже если смотреть фильм исключительно через призму научного материализма, то можно обнаружить немалое количество казусов и нареканий. И тут создатели картины вынуждены прибегать к вольным допущениям, поскольку специфика художественной направленности не позволяет воспроизвести материал со всей исследовательской точностью и академичностью под стать научной монографии. Саму логичность поступков главных героев и сопутствующих им персонажей можно поставить под сомнение по очень многим аспектам. Как верно заметил известный американский популяризатор науки и астрофизик Нил Деграсс Тайсон (в своём отзыве на фильм): 'Сложно представить будущее, в котором покидать Землю через кротовую нору - лучший план, чем просто попытка наладить всё на Земле'.Очевидно, что сама концепция «умного кино» представляется режиссёру в искажённом формате – она находит свою реализацию не в виде аллегоричности, мастерской подачи всей глубины художественного замысла и других приёмов подлинного киноискусства, а в гораздо более вульгарном и приземлённом виде: через демонстрацию различных схем, чертежей графиков, достоверно показанных технических новшеств и математически точной модели чёрной дыры.Кристофер Нолан играет со зрителем в очень опасную игру, выдавая посредственно сделанный продукт за гениальное явление, не имеющее аналогов. На протяжении всего фильма режиссёр упорно пытается компенсировать выраженную художественную слабость своего творения усиленным акцентированием зрительского внимания именно на научной составляющей всей картины. Вот и получается, что зритель оценивает не художественные достоинства фильма, а лишь достоверно показанную реалистичность космических объектов.Увы, но режиссёр, который в своё время наглядно показал, что может снимать хорошее и далеко неглупое кино, в этот раз предстал в образе некоего интеллектуального афериста (на манер одного из своих персонажей), сумевшего обвести доверчивого зрителя вокруг пальца так, что последний и не заметил подвоха. Или предпочёл не заметить…",0,26 ноября 2015 | 21:09,Интерстеллар / Interstellar,Отрицательный
"Среди культурологов бытует мнение, что сейчас в мире наступает эпоха нового средневековья. Время очередного кризиса рациональности и поиска человеком иных мистических способов познания мира. Или же возвращение к опыту поколений. В искусстве это заметно из-за невероятной популярности фэнтези, например, или научной фантастики. Весь XX век человечество стремилось к технологическому прогрессу, делая ставку на светлое индустриально-компьютерное будущее. Однако, с началом XXI века эра утопий сменилась культом антиутопий, то есть, по меньшей мере, скепсис стал преобладать над идеализмом. В истории человечества так было уже не раз и не два. И новое средневековье всего лишь очередной виток спирали времени.Как ни странно, «Интерстеллар» как раз об этом. О прошлом и будущем, о времени, как особом измерении бытия, о его циклах и парадоксах. У фильма редкий жанр – мистерия; в декорациях величественного и бескрайнего космоса. Мистерия – это некое таинство, которое в театрализованной форме повторяет или копирует религиозные сюжеты. Не даром, проект, которому посвящают себя герои, в фильме называется «Лазарь». Величайшее из чудес Иисуса, предсказывающее воскрешение из мертвых Лазаря, – один из столпов христианского богословия. И в конце фильма герой, как Лазарь, умирает и воскрешается чудесным образом. Еще один признак мистериальности – музыка! Действительно, выдающаяся, и полностью сыгранная на церковном органе, она погружает зрителя в определенный мистический транс. Это литургическая музыка, и звучание ее в фильме очень уместно.Вовсе не удивляет, что «Интерстеллар» собрал противоречивые отзывы публики. Проходная картина о космосе не вызывает таких восторгов или негодований. В «Интерстелларе» вскрываются чердаки коллективного подсознания человечества, задаются почти духовные вопросы. Это кино попадает в дефицит священного и сакрального у современного человека. И кому-то этот дефицит восполняет. Эти люди не просто говорят, что фильм классный, а приходят в некий мистический восторг, который и сами до конца не могут объяснить: от ощущения бесконечного величия космоса, от героизма обычного человека, который бросает вызов бездне забвения. Не зря постоянно цитируется стихотворение Дилана Томсона: «Не уходи смиренно в сумрак вечной тьмы» (Do not go gentle into that good night!). Ты не просто песчинка в пустыне, ты реально можешь влиять на ход истории. Безусловно, этот фильм заполняет пустоту священного в душе человека, не верящего или сомневающегося в существовании Бога. Почему многих не устраивает этот фильм? По той же причине! Потому что их жажду сакрального он не удовлетворяет и адекватных ответов не дает. Но все чувствуют, что этот фильм претендует на нечто большее, чем обычный проходной скай-фикшн.На самом деле, рассвет научной фантастики напрямую связан с религией. Когда героиня «Гравитации» находит иконку в покинутом корабле, то это не случайность. Наука как бы  становится преемницей религии в вопросах священного. Вместе с Ницше, западный человек отказался от Бога и XX век стал редким атеистическим веком в истории. Привело это, прямо или косвенно, к 1-й и 2-й мировым войнам, страшнейшим преступлениям против человека и общим цивилизационным тупиком – никто больше не может дать абсолютных решений и ответов. В том числе и рациональная наука, которая обнаружила свою ограниченность в предметах, выходящих за рамки материи. Человечеству надо было собраться после всего этого кошмара. И стало принципиально важно полететь в космос. За новыми идеалами. Потому что реально экологических предпосылок в освоении космоса пока нет. Земля не умирает, как в «Интерстелларе», от засухи и голода. Причина в другом. Небо – место, где живет Бог! Но, по каким-то причинам, он «отлучился» на время. Значит, человек должен полететь туда сам и занять стратегически важную позицию, обрести некий новый смысловой контекст для своего существования. И анекдоты советские, мол летали мы в космос – Бога не видели – всё это замещение космосом и человеком сакрального и божественного. Впрочем, мы начали с того, что сейчас наступает эпоха нового средневековья. Освоение космоса не принесло желанного философского удовлетворения, не решило вопросы морали и смерти. И фильм Нолана скорее ностальгический – о ренессансе научной фантастики, о новой попытке нырнуть в глубину черной дыры, к непостижимому, запредельному. Эти попытки человек не оставляет никогда……Герой тоскует по небу. Он говорит: «Мы забыли, что мы первооткрыватели». Это прямая ссылка на «Божественную комедию» Данте. Ведь свой рай он ищет именно там, в космосе: девятое небо, планеты, путешествие в небеса одинокого человека. И заканчивается «Божественная комедия» фразой: «Любовь что движет солнца и светила»…«Интерстеллар», в конечном итоге, сводится к тому же неожиданному парадоксальному итогу. Любовь дочери позволяет герою изменить судьбу человечества. Любовь буквально движет солнца и светила, и является реальным измерением жизни. Ну, а вопросы соперничества науки и религии отходят на второй план…По мотивам передачи А. Долина5 из 10",0,24 ноября 2015 | 17:35,Любовь что движет солнца и светила,Отрицательный
"«На сегодня, край глупости и тупости зашкаливает.Современный обыватель не анализирует окружающую действительность, не интересуется ничем, кроме благополучия, полноты своего желудка.Потому, так важно возвратить человека современного к истокам. Показать ему, заставить, наконец, взглянуть на самого себя со стороны или же то, каким он мог стать в перспективе.В виду выше изложенного, так важна картина 'Интерстеллар'. Заставляющая нас не только сопереживать героям ленты, но и, наконец, включить мозги. Задуматься о своем месте во Вселенной, поразмышлять о сингулярности и возможности путешествий во времени, гравитации, узнать имена Кипа С. Торна, Стивена Хокинга, Ричарда Пенроуза и др.Намеренно не говорю о художественном достоинстве данного фильма. Упираю в научную составляющую,- она абсолютно выверена и совершенна. Свидетельствую,- на сей день, ни один режиссёр не то, чтобы не снял, даже не покусился на фильм такой глубины ясности и наукоёмкости, как Крис Нолан. Фильм создан на 'пике науки', иначе говоря, в нём воплощено всё то, что мы узнали за время наших поисков.Мне, такое внимание к дисциплине приятно вдвойне.10 из 10",0,24 ноября 2015 | 00:40,"«Если тебя квантовая физика не испугала, значит, ты ничего в ней не понял.» -Нильс Бор",Положительный
"Недавно посмотрел картину, уже после проката и многочисленных отзывов. К сожалению, был разочарован тем, насколько она получилась поверхностная и аляповатая.Фильм сильно затянут - любой гуру сценарного мастерства порвал бы в клочья сценарий с таким количеством закадрового текста, написанный неизвестным сценаристом. Ко всему прочему, многие пояснения можно без проблем визуализировать - это камень в огород самого Нолана - постановка фильма беспомощна и неудачна. Я разочарован.Повествование содержит лишь несколько интересных сцен: планы космоса, завораживающее гало чёрной дыры, относительно интересен пролёт сквозь 'кроличью нору'... В остальном хронометраж содержит скучные диалоги (каких давно не снимают даже в приличных американских сериалах), немотивированные поступки Бренд, истерики и абсурдное поведение Манна, бессмысленную ложь профессора Бренда и т.д. Скучна и нелепа придуманная режиссёром связь между измерениями: двигать стрелки часов можно, но вернуться домой через эти материальные полки нельзя... Сам полёт в чёрную дыру - нелепость. Даже в нейтронных звёздах, обладающих куда меньшей массой, всё вещество 'спекается' в нейтроны, в результате образуя объект с миниатюрными размерами и невообразимой массой. Т. е. попав в поле притяжения чёрной дыры, любой космический корабль скорее просто был бы разорван ещё до горизонта событий. То что мы видим на экране - беспомощный психологизм и непонимание жанра НФ.Сама основа сюжета - необходимость колонизации других планет - абсурдна по своей сути. Какой смысл искать в космосе планету слабо подходящую для жизни и пытаться её обустроить и заселить, если есть уже готовая Земля? На ней миллиарды лет идёт эволюция жизни и она периодически благополучно переживает мега-катоклизмы типа падения на поверхность камет или астероидов. Прям по Жванецкому: 'Там хорошо, где нас нет!' - (с) Практически - это бессмыслица. Человечеству куда проще было направить усилия на приведение в порядок климата Земли, чем тратить огромные ресурсы отправляя космические экспедиции за мечтой. Когда в доме смрад и грязь, достаточно метлы и открытых окон. И нет необходимости строить новый дом.Примерно те же проблемы наблюдаются в абсурдистских отношения отца и дочери, любви Бренд и т.д. Отмечу ключевой 'конфликт' отца и дочери. Надуманность его зашкаливает, ибо в реальной жизни мужчины уходя на войну или совершая отчаянные поступки понимаемы окружающими, в том числе и детьми, на интуитивном уровне, так всё устроено. Функция мужчин, даже ценой своей жизни, защищать семью, город, страну, вид... Отстранённость персонажей, режиссёрская манера не позволяют им сопереживать - все мои знакомые это отметили. Характеры поверхностны и формальны. Увы.В общем и целом, радует космическая тематика блокбастера, современные технологии визуализации сцен, но этого недостаточно, чтобы создать нечто грандиозное и впечатляющее, нечто захватывающее и заставляющее задуматься3 из 10",0,10 ноября 2015 | 15:20,"Режиссёры, учите мат. часть",Отрицательный
"Этот фильм открывает завесу на космос совсем иным образом.Я люблю фильмы о космосе, и до этого 'Шедевра' Кристофера Нолана, я ждал момент когда моя душа будет фантастически впечатлена и тронута. И вот после этого фильма, у меня внутри просто раскрывается свой 'космос', и всё внутри просто 'взвинчено' до небес, и мне хочется вновь и вновь отправляться с Мэттью МакКонахи в глубины космоса, и открывать новые миры...Да именно такое неизгладимое впечатление оставило во мне это яркое и шедевральное искусство Кристофера Нолана. Все в этом фильме просто создано друг для друга, и актеры, и режиссёры, и музыка. Музыка заслуживает отдельного признания, музыка несет с собой энергию Вселенной и мурашки по коже. Ханс Циммер просто Стив Джобс в империи кино-музыки. До просмотра и после, я даже не знал что композитором был именно Ханс Циммер. А когда узнал, то даже не удивился, ибо только он мог сотворить такую магию в этом фильме.Но и конечно работа актеров на высшем уровне. Я уже заметил что Нолан предпочитает работать с теми актерами, с которыми он работал и раньше. И это конечно безумно радует. Я поражаюсь безграничному таланту Мэттью МакКонахи, и он по-праву заслуживает 'Оскара', но и за эту роль он также заслуживал 'Оскара'.Но и конечно радует то, что Нолан не жалеет средств на декорации фильма. Как и в других своих фильмах, он с размахом осуществляет то, чего действительно не хватает в тех или иных моментах в кадре.По-моему мнению фильм просто 'Шедевр'. И с большой радостью рекомендую всем любителям кино посмотреть эту маленькую и очень яркую 'звездочку', в нашей большой 'Кино-Вселенной'!10 из 10",0,04 ноября 2015 | 17:23,Сквозь червоточину с Мэттью МакКонахи,Положительный
"Ноланы написали странный, но довольно симпатичный сценарий, в котором много штампов, но тем не менее, много красивых моментов, почти все продуманно, и хватает полета фантазии1,5 из 2х - для научной фантастики, более чем.Визуализаия - тут на вкус и цвет - мне нравится четкая стилистика, годные спецэффекты, но оператор мог бы сделать и лучше, есть много планов которые не доработаны, есть косяки в визуализации итого 1,5 из 2х.Тайминг - самое провальное место начало затянуто, несмотря на многие ключевые моменты, и раскрытие характеров имхо могло быть и меньше - 1 из 2хМузыка - о мой Бог! Великий, непревзойденный Ханс Циммер сделал еще 1 шедевр (помимо король лев, начало, темный рыцарь, гладиатор, шерлок холмс, пираты карибского моря и многое многое другое)... иногда мне кажется что любой саундтрек к которому прикладывает руку этот мужик становится трендом голивуда - он просто шедеврален, музыка чудесна, она держит в напряжении все 3 часа фильма... 2 из 2х однозначно.Актерская игра - оскароносные МакКонахи и Хэтэуэй не менее превосходная Джесс Чистейн, и старик Майкл Кейл - все отыграли как надо, у меня есть вопросы к Хэтэуэй, но блестящий Мэтт настолько переиграл тут всех, что на его фоне - всё меркнет! 2 из 2хОтличный фильм, не шедевр конечно, но на безрыбье научной фантастики последних лет - однозначный WIN! Выделяется как визуальная часть картины, так и смысловая нагрузка - рекомендую всем!8 из 10",0,03 ноября 2015 | 15:38,Следующий шаг человечества?,Положительный
"Земля. Будущее, в котором планета задыхается, в связи с тем, что концентрация кислорода в воздухе необратимо падает, человечество готовится к неминуемой гибели. Идея спасения приходит, откуда не ждали…NASA отправляет в сверхсекретную миссию группу астронавтов. Их цель — найти новый дом для человечества.Казалось бы, очередной научно-фантастический фильм о космосе. На первый взгляд, да. Кстати, надо отдать должное: научности и разного рода умных теорий фильму не занимать. В этом, наверное, его главное волшебство. Хотя в конечном итоге 'Интерстеллар' не о космосе или науке и даже не конце света, это драма о семье и о выборе: спасти миллионы или остаться с семьей.И хотя фильм ставит главного героя перед этим непростым выбором, в напряжении это не держит, для драмы и сопереживания героям не хватает эмоций. Какие-то они однобокие получились, словно и правда трехмерное пространство просто не может вместить все их чувства. Вообще 'Интерстеллар' не о том, как победить некое абстрактное зло и спасти семью, а, заодно, и человечество, поэтому сюжетная линия о страданиях в разлуке Купа (МакКонахи) и Мёрф (Чейстен) выглядит странно. Для отца прошло не так много времени, а дочь слишком занята поисками решения по спасению человечества. Также мне показалась нераскрытой темой с электромагнитным полем в комнате Мёрф. Почему именно там? Конечно, возможно, она просто-напросто избранная, только вот кем? Мы же о научном фильме говорим.В целом, не тянет Мэтью МакКонахи на спасителя всего человечества, ну, не тянет (жаль, Брюс Уиллис уже стар), также как Энн Хэтэуэй не похожа на ученого-колонизатора. Вот кому удалась роль, так это Мэтту Дэймону, хотя его участие можно было бы и сократить. Это только бы положительно сказалось на хронометраже. Отдельного, кстати, внимания заслуживает Джессика Чейстен: Мёрф ей действительно удалась. Мне вообще земная сюжетная линия понравилась больше космической.По мне фильм получился очень холодным, но впечатлил. А все потому, что не так часто главным героем фильма является наука, причем по мне фильм сделан гениально: зрителя не грузят важными научными фактами, в которых ему приходится разбираться самостоятельно. Вам разжевывают все досконально, как в школе на уроках физики, при этом делают это с такой заботой и так бережно, что вы начинаете верить в том, что уже разбираетесь в пространственных измерениях, черных дырах и замедляющемся времени.Все это заправленное звездным актерским составом делает фильм не просто достойным внимания, а обязательным к просмотру.Хотя я рассчитывала на звездные путешествия и красивый космос.9 из 10",0,20 октября 2015 | 17:45,А как же космос?,Положительный
"Несколько опоздал с рецензией, однако лучше поздно, чем никогда. Перед просмотром не читал абсолютно никаких отзывов, не слушал абсолютно ничьих мнений и занял место в кинотеатре с совершенно чистой головой. В двух словах — фильм потрясающий. После просмотра и финальных титров возникло сильное желание посидеть какое-то время в пустом кинозале, молча вдыхать сумасшедшую энергетику и просто думать, думать, думать… Огромное спасибо Кристоферу Нолану и каждому специалисту, принимавшему участие в создании этого Шедевра. Считаю Интерстеллар величайшим научно-фантастическим фильмом за всю историю кинематографа. Ни одна кинолента не способна вызвать подобный водоворот противоречивых эмоций и глубоких чувств.Интерстеллар определенно стоит смотреть в кинотеатре в зале IMAX. Не думаю, что фильм произведет столь сильное впечатление при просмотре на DVD. И дело не в размере экрана и качестве звука. Интерстеллар — фильм, каждой минутой которого необходимо проникнуться, прочувствовать каждую фразу, каждое действие. Не отвлекаясь ни на какие помехи. Дома мы часто во время просмотра отходим налить чай, ответить на телефонный звонок и прочее. Кинотеатр создает особенную атмосферу, погружаясь в которую можно насладиться фантастической картиной, которую подарили нам Кристофер Нолан и Компания.Рассказывать сюжет фильма не имеет смысла — он очень сложный, тяжелый и интересный. Первоклассный фильм, который, безусловно, займет свое место на первой полке истории научно-фантастического кинематографа.Давайте разберемся, почему, собственно, многим людям фильм НЕ понравился. Я не могу говорить от лица всех людей, считающих данную киноленту шедевром, поскольку я не кинокритик и не журналист. Следовательно, вы можете соглашаться с моим мнением, не соглашаться или вовсе проигнорировать. Итак, почему фильм многим людям не понравился… Возможно, в последние годы Голливуд приучил нас к тому, что в любом фильме всегда присутствует щепотка однообразия. Всегда есть два или более противостоящих друг другу лагеря — Добро и Зло. И на протяжении каждого фильма нам раскрывают (если не сначала, то по мере приближения к концу повествования) кто добрый герой, кто негодяй, кто предатель, кто охотится за собственной выгодой, кто альтруист и т.д. В Интерстелларе ничего подобного нет. Есть только человечество, которое стремится приспособиться и сохранить себя как вид. Даже «злодеи» в Интерстелларе — не злодеи. Да, они преследуют иные цели, нежели главный герой, однако мотивы каждого из них вполне можно понять.Помимо прочего, в фильме нет стопроцентного хэппи-энда. По крайней мере, конец нельзя назвать веселым. Он, скорее, печальный, но вдохновляющий. Кроме того, концовка оставила множество вопросов, предлагая нам самостоятельно найти ответы. И именно это настоящая фантастика, когда ты выходишь из кинозала со слезящимися глазами, глубоко задумавшись, находясь мысленно в другой галактике, на других планетах и в других мирах.10 из 10",0,20 октября 2015 | 13:38,,Положительный
